Frame,Pixel Count
GMG,112896
MOG,0
MOG2,112896
KNN,0
CNT,112896
GMG,112896
MOG,0
MOG2,112896
KNN,597
CNT,4050
GMG,112810
MOG,0
MOG2,112896
KNN,953
CNT,4846
GMG,112797
MOG,0
MOG2,112896
KNN,960
CNT,2909
GMG,6869
MOG,0
MOG2,112896
KNN,924
CNT,2816
GMG,6038
MOG,0
MOG2,112896
KNN,1192
CNT,4116
GMG,6358
MOG,0
MOG2,112896
KNN,1198
CNT,3470
GMG,5758
MOG,0
MOG2,112896
KNN,1148
CNT,2851
GMG,5248
MOG,0
MOG2,112896
KNN,1129
CNT,2511
GMG,4925
MOG,0
MOG2,112896
KNN,1186
CNT,2694
GMG,5388
MOG,0
MOG2,112896
KNN,1230
CNT,2939
GMG,5403
MOG,0
MOG2,112896
KNN,1132
CNT,2786
GMG,5606
MOG,0
MOG2,112896
KNN,1228
CNT,3023
GMG,5665
MOG,0
MOG2,112896
KNN,1220
CNT,2877
GMG,5707
MOG,0
MOG2,112896
KNN,1223
CNT,2565
GMG,5741
MOG,0
MOG2,6863
KNN,1249
CNT,3553
GMG,5769
MOG,0
MOG2,7012
KNN,1206
CNT,4408
GMG,5428
MOG,0
MOG2,6937
KNN,1176
CNT,4312
GMG,5392
MOG,0
MOG2,6955
KNN,1231
CNT,3244
GMG,5260
MOG,0
MOG2,6821
KNN,1197
CNT,3251
GMG,5143
MOG,0
MOG2,6822
KNN,1168
CNT,3509
GMG,5371
MOG,0
MOG2,6707
KNN,1156
CNT,3731
GMG,5323
MOG,0
MOG2,6649
KNN,1148
CNT,3876
GMG,5279
MOG,0
MOG2,6559
KNN,1164
CNT,3720
GMG,5317
MOG,0
MOG2,6541
KNN,1220
CNT,3812
GMG,5250
MOG,0
MOG2,6482
KNN,1212
CNT,3949
GMG,5168
MOG,0
MOG2,6438
KNN,1218
CNT,3780
GMG,5131
MOG,0
MOG2,6367
KNN,1166
CNT,3860
GMG,4978
MOG,0
MOG2,6300
KNN,1196
CNT,3823
GMG,4943
MOG,0
MOG2,6255
KNN,1209
CNT,3897
GMG,4914
MOG,0
MOG2,6224
KNN,1198
CNT,4231
GMG,5089
MOG,0
MOG2,6179
KNN,1269
CNT,4309
GMG,4998
MOG,0
MOG2,6164
KNN,1284
CNT,4329
GMG,4907
MOG,0
MOG2,6136
KNN,1234
CNT,4362
GMG,4802
MOG,0
MOG2,6109
KNN,1264
CNT,4221
GMG,4781
MOG,0
MOG2,6024
KNN,1278
CNT,4327
GMG,4710
MOG,0
MOG2,5964
KNN,1257
CNT,4440
GMG,4750
MOG,0
MOG2,5909
KNN,1321
CNT,4328
GMG,4728
MOG,0
MOG2,5864
KNN,1312
CNT,4400
GMG,4724
MOG,0
MOG2,5825
KNN,1296
CNT,4317
GMG,4778
MOG,0
MOG2,5726
KNN,1287
CNT,4303
GMG,4798
MOG,0
MOG2,5693
KNN,1333
CNT,4355
GMG,4790
MOG,0
MOG2,5622
KNN,1383
CNT,4487
GMG,4846
MOG,0
MOG2,5572
KNN,1436
CNT,4661
GMG,4858
MOG,0
MOG2,5529
KNN,1400
CNT,4617
GMG,4970
MOG,0
MOG2,5460
KNN,1398
CNT,5001
GMG,4913
MOG,0
MOG2,5415
KNN,1380
CNT,4953
GMG,4909
MOG,0
MOG2,5373
KNN,1360
CNT,4811
GMG,4847
MOG,0
MOG2,5268
KNN,1294
CNT,4735
GMG,4811
MOG,0
MOG2,5204
KNN,1286
CNT,4689
GMG,4801
MOG,0
MOG2,5194
KNN,1316
CNT,4825
GMG,4920
MOG,0
MOG2,5178
KNN,1343
CNT,4904
GMG,4811
MOG,0
MOG2,5100
KNN,1282
CNT,4661
GMG,4739
MOG,0
MOG2,5023
KNN,1272
CNT,4536
GMG,4699
MOG,0
MOG2,4927
KNN,1295
CNT,4416
GMG,4635
MOG,0
MOG2,4850
KNN,1291
CNT,4489
GMG,4591
MOG,0
MOG2,4887
KNN,1330
CNT,4359
GMG,4598
MOG,0
MOG2,4872
KNN,1356
CNT,4460
GMG,4509
MOG,0
MOG2,4818
KNN,1297
CNT,4490
GMG,4510
MOG,0
MOG2,4791
KNN,1273
CNT,4435
GMG,4458
MOG,0
MOG2,4836
KNN,1359
CNT,4596
GMG,4491
MOG,0
MOG2,4832
KNN,1367
CNT,4825
GMG,4400
MOG,0
MOG2,4715
KNN,1313
CNT,4740
GMG,4369
MOG,0
MOG2,4665
KNN,1257
CNT,4700
GMG,4364
MOG,0
MOG2,4576
KNN,1211
CNT,4539
GMG,4358
MOG,0
MOG2,4600
KNN,1201
CNT,4544
GMG,4242
MOG,0
MOG2,4519
KNN,1209
CNT,4484
GMG,4248
MOG,0
MOG2,4450
KNN,1150
CNT,4549
GMG,4157
MOG,0
MOG2,4360
KNN,1131
CNT,4423
GMG,4187
MOG,0
MOG2,4336
KNN,1167
CNT,4334
GMG,4063
MOG,0
MOG2,4242
KNN,1148
CNT,4183
GMG,4000
MOG,0
